	Unnamed: 0	id	like_ratio	dislike_ratio	views_to_days	duration	comment_count	peaks_count	heightxwid	label	comments_sim_score
8	8	0Cu805aSMqY	0.05306476066709985	0.008097165991902834	12.118110236220472	127.0	56	1.0	0.0846893502287957	1.0	0.6466906
44	44	WzhoYJk0i-g	0.15299539170506912	0.2420091324200913	2.4111111111111105	181.0	26	2.0	0.011099934591605	1.0	0.7490857
66	66	otAULvWQjtw	0.05617073532214012	0.015219005196733484	124.94973544973546	452.0	217	1.0	0.03631225465350496	1.0	0.56346756
78	78	EBqpcxqEztw	0.1297780306742325	0.004888296368116996	713.5375939849623	768.0	2737	5.0	0.002555583609566439	1.0	0.8472449000000001
79	79	gqtZqIJ3NA8	0.009767961087632565	0.2857142857142857	82.50657894736842	208.0	91	1.0	0.005387830971459817	1.0	0.8748825000000001
133	133	Galz-j_mGqA	0.0026858990300920173	0.06896551724137931	54.63315217391305	412.0	34	1.0	0.06371264333973509	1.0	0.7411658
137	137	7fsvL46ZQ2Y	0.07534246575342465	0.11029411764705882	4.328840970350404	211.0	16	2.0	0.00678047292808996	1.0	0.6496476
145	145	cbClQq0P0rc	0.07631578947368421	0.06451612903225806	1.3013698630136987	100.0	45	2.0	0.05047989571583427	1.0	0.7111794
175	175	AEubu4bKeT0	0.012077294685990338	0.1414141414141414	14.541322314049587	89.0	143	3.0	0.010414512199467344	1.0	0.60639316
177	177	oUtZ-v675Qw	0.043978627209206735	0.0	3.969004893964111	256.0	88	1.0	0.0032911237598475967	1.0	0.72428054
181	181	LjGNMG9QOIo	0.20603015075376885	0.0	0.5392953929539296	321.0	28	1.0	0.005675659645796547	1.0	0.64118886
227	227	t3rE-c3J5aY	0.0329560585885486	0.18181818181818185	7.989361702127661	157.0	12	2.0	0.05426237449407592	1.0	0.6922175
254	254	MCer4aRCSRU	0.125	0.05128205128205128	0.5501858736059481	217.0	28	1.0	0.10896223323580734	1.0	0.7439752
267	267	tCAl6b8m_7s	0.010707749460515174	0.02729528535980149	103.12394366197184	29.0	35	1.0	0.020982264801440328	1.0	0.67677397
298	298	_LIGorBdpFE	0.06911447084233263	0.2380952380952381	4.228310502283105	44.0	102	2.0	0.034204303586052184	1.0	0.8260094000000001
307	307	43Odt0Mzyfw	0.03888419273034658	0.0	3.1213720316622693	254.0	26	1.0	0.03712794898414926	1.0	0.60959435
309	309	SYrYqf6AWt8	0.01742957746478873	0.005025125628140704	28.61460957178841	169.0	86	1.0	0.012475101983851707	1.0	0.909826
340	340	Y9uY6b9b1sk	0.02934152166496077	0.04444444444444445	5.01025641025641	233.0	193	2.0	0.001255407344938924	1.0	0.7048146
